Description,Price (Eur),Number of Rooms,Number of Beds,Area in (sqm),Website,Qualities,Types,Names-Places
Bright and cosy apartment with BALKONY in Berlin most wanted Prenzlauer Berg close to Kollwitzplatz,"€1,680",2,2,59 m²,https://wunderflats.com/en/furnished-apartment/bright-and-cosy-apartment-with-balkony-in-berlin-most-wanted-prenzlauer-berg-close-to-kollwitzplatz/60bf48548b56bd0007c89635?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['cosy'],"['apartment', 'close']","['Bright', 'BALKONY', 'Berlin', 'Prenzlauer', 'Berg', 'Kollwitzplatz']"
Amazing simple room near Tiergarten,€699,1,1,17 m²,https://wunderflats.com/en/furnished-apartment/g/amazing-simple-room-near-tiergarten/-4MPOS_YQdppHJ9DN2oNX?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['Amazing'],"['simple', 'room']",['Tiergarten']
Cute & cozy loft located in Wilmersdorf (Berlin),"€1,170",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/cute-and-cozy-loft-located-in-wilmersdorf-berlin/60a010781f70e30008956d9a?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,[],"['cozy', 'loft']","['Cute', 'Wilmersdorf', 'Berlin']"
homelike & stylish apartment located in Wedding by BENSIMON,"€2,250",2,2,70 m²,https://wunderflats.com/en/furnished-apartment/homelike-and-stylish-apartment-located-in-wedding-by-bensimon/5fb11a28b02e81000679e90c?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['stylish'],"['homelike', 'apartment']","['Wedding', 'BENSIMON']"
Living in BERLIN Mitte - Great serviced apartment at Gleisdreieckpark,"€1,050",1,1,27 m²,https://wunderflats.com/en/furnished-apartment/g/living-in-berlin-mitte-great-serviced-apartment-at-gleisdreieckpark/oHTSmJnQN?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,[],"['Great', 'apartment']","['BERLIN', 'Mitte', 'Gleisdreieckpark']"
"Design, pretty, spacious 3 Rooms Flat (Spandau Old Town), all stuff new! awesome! Closed to Trainstation, Underground ARCADEN","€1,950",3,4,92 m²,https://wunderflats.com/en/furnished-apartment/design-pretty-spacious-3-rooms-flat-spandau-old-town-all-stuff-new-awesome-closed-to-trainstation-underground-arcaden/5dc92b0435ca0d0007bd3e36?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['spacious', 'new']",['awesome'],"['Design', 'Rooms', 'Flat', 'Spandau', 'Old', 'Town', 'Trainstation', 'Underground', 'ARCADEN']"
Modern and bright new apartment in the heart of Berlin-Mitte with balcony,"€1,800",2,2,49 m²,https://wunderflats.com/en/furnished-apartment/g/modern-and-bright-new-apartment-in-the-heart-of-berlin-mitte-with-balcony/t7zudK3_ZG?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['new'],"['apartment', 'heart', 'balcony']","['Modern', 'Berlin-Mitte']"
Newly furnished high-quality apartment in most popular location in Mitte with balcony,"€1,800",2,2,49 m²,https://wunderflats.com/en/furnished-apartment/g/newly-furnished-high-quality-apartment-in-most-popular-location-in-mitte-with-balcony/F9nFubFUXV?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['popular'],"['high-quality', 'apartment', 'location', 'balcony']",['Mitte']
"Bright, lovely studio close to park, Berlin","€1,490",1,1,36 m²,https://wunderflats.com/en/furnished-apartment/bright-lovely-studio-close-to-park-berlin/5c13adffbedb330005408067?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,['close'],['studio'],"['Bright', 'Berlin']"
Beautiful studio in nice area (Berlin),"€1,150",1,1,25.85 m²,https://wunderflats.com/en/furnished-apartment/g/beautiful-studio-in-nice-area-berlin/j1aIlRVGNF?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['Beautiful', 'nice']","['studio', 'area']",['Berlin']
Beautiful Superior Suite in the heart of Berlin perfect for couples,"€2,000",1,1,44 m²,https://wunderflats.com/en/furnished-apartment/beautiful-superior-suite-in-the-heart-of-berlin-perfect-for-couples/5fc64c4e32039a0007b6c0a7?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,[],"['heart', 'perfect']","['Beautiful', 'Superior', 'Suite', 'Berlin']"
Spacy maisonette apartment on the fourth and fifth floor ( with elevator) of a Berlin apartment house,"€5,200",6,5,180 m²,https://wunderflats.com/en/furnished-apartment/spacy-maisonette-apartment-on-the-fourth-and-fifth-floor-with-elevator-of-a-berlin-apartment-house/5cdc738b9b1b3200072c2455?dataLayerKey=-8EmJ-5IZmQFu929nhLn9,"['fourth', 'fifth']","['apartment', 'floor', 'elevator', 'apartment', 'house']","['Spacy', 'Berlin']"
